"","municipality","code","DP","state","year","eb_ntp","eb_nmr","eb_ndvr","eb_npir","eb_nubr","nimr","Litr","nmpr","nmrpr"
"1","Abejorral",5002,5,"Antioquia",2003,9993.72722303012,9984.92483186854,NA,NA,91.0203241805833,NA,NA,NA,NA
"2","Acevedo",41006,41,"Huila",2003,9997.95300994774,9979.04486954583,NA,NA,95.6466180352916,NA,NA,NA,NA
"3","Agrado",41013,41,"Huila",2003,9985.40667795114,9993.08708988301,NA,NA,95.6138991373808,NA,NA,NA,NA
"4","El Águila",76243,76,"Valle del Cauca",2003,9997.88855852988,9987.87856225376,NA,NA,92.5863798575822,NA,NA,NA,NA
"5","Aguachica",20011,20,"Cesar",2003,9999.041533043,9996.38883796406,NA,NA,94.5074704497838,NA,NA,NA,NA
"6","Aguada",68013,68,"Santander",2003,9996.47030065001,9996.27175573248,NA,NA,94.0183517620957,NA,NA,NA,NA
"7","Aguadas",17013,17,"Caldas",2003,9998.59101415906,9992.86249104644,NA,NA,93.8123287268264,NA,NA,NA,NA
"8","Aguazul",85010,85,"Casanare",2003,9999.03010374462,9986.622073092,NA,NA,95.8889669711876,NA,NA,NA,NA
"9","Sativanorte",15720,15,"Boyacá",2003,9998.8494304279,9998.75387560145,NA,NA,91.7706681405343,NA,NA,NA,NA
"10","Aipe",41016,41,"Huila",2003,9988.96692792702,9997.81064202264,NA,NA,95.5800304604715,NA,NA,NA,NA
"11","Albania",44035,44,"La Guajira",2003,9999.42918548861,9997.61852115865,NA,NA,91.3454647176189,NA,NA,NA,NA
"12","Albania",68020,68,"Santander",2003,9998.08578654639,9994.31735456603,NA,NA,93.5875119069553,NA,NA,NA,NA
"13","Algarrobo",47030,47,"Magdalena",2003,9999.03370695635,9996.64732094686,NA,NA,94.7122890813221,NA,NA,NA,NA
"14","Algeciras",41020,41,"Huila",2003,9998.60527916548,9982.71424918858,NA,NA,95.700799596841,NA,NA,NA,NA
"15","Almaguer",19022,19,"Cauca",2003,9999.81894271402,9998.29787097512,NA,NA,93.0799176625102,NA,NA,NA,NA
"16","Alpujarra",73024,73,"Tolima",2003,9996.86470797974,9996.91195594116,NA,NA,95.3999646756665,NA,NA,NA,NA
"17","Altamira",41026,41,"Huila",2003,9980.09916372307,9989.13693039193,NA,NA,95.5784243069284,NA,NA,NA,NA
"18","San Pedro de Urabá",5665,5,"Antioquia",2003,9999.42214087096,9998.94154652764,NA,NA,94.4107240300966,NA,NA,NA,NA
"19","Tangua",52788,52,"Nariño",2003,9998.8689944482,9995.16869312163,NA,NA,92.891622901275,NA,NA,NA,NA
"20","Alvarado",73026,73,"Tolima",2003,9992.87430927754,9992.52006190997,NA,NA,95.5814667342349,NA,NA,NA,NA
"21","Amalfi",5031,5,"Antioquia",2003,9991.92709332089,9989.91900626013,NA,NA,92.1252897794828,NA,NA,NA,NA
"22","Ambalema",73030,73,"Tolima",2003,9997.8344664361,9992.65556830422,NA,NA,95.1932951866702,NA,NA,NA,NA
"23","Anapoima",25035,25,"Cundinamarca",2003,9985.17482256992,9994.6878751044,NA,NA,92.6787983539513,NA,NA,NA,NA
"24","Andes",5034,5,"Antioquia",2003,9997.5381716647,9990.32244914279,NA,NA,91.7540829028921,NA,NA,NA,NA
"25","Angostura",5038,5,"Antioquia",2003,9990.58382993032,9990.79982986065,NA,NA,91.6742005767759,NA,NA,NA,NA
"26","Anolaima",25040,25,"Cundinamarca",2003,9998.50355971304,9994.18348536278,NA,NA,91.3985831158646,NA,NA,NA,NA
"27","Anserma",17042,17,"Caldas",2003,9999.51135159465,9978.53977172081,NA,NA,92.6377522606256,NA,NA,NA,NA
"28","Ansermanuevo",76041,76,"Valle del Cauca",2003,9995.45372452025,9987.91383830273,NA,NA,92.5863798575822,NA,NA,NA,NA
"29","Apulo",25599,25,"Cundinamarca",2003,9977.39104638025,9973.62245111022,NA,NA,91.2996420853993,NA,NA,NA,NA
"30","Aracataca",47053,47,"Magdalena",2003,9999.5403132998,9989.56844564602,NA,NA,95.5393410624787,NA,NA,NA,NA
"31","Aranzazu",17050,17,"Caldas",2003,9999.44279957607,9991.04262635998,NA,NA,94.6085798016855,NA,NA,NA,NA
"32","Aratoca",68051,68,"Santander",2003,9996.67216249291,9998.48984202922,NA,NA,93.6817362607766,NA,NA,NA,NA
"33","Arauca",81001,81,"Arauca",2003,9997.31502761551,9991.63729394152,NA,NA,94.6850934729829,NA,NA,NA,NA
"34","Arauquita",81065,81,"Arauca",2003,9999.82611756948,9988.11813932833,NA,NA,95.9197209048046,NA,NA,NA,NA
"35","Arboledas",54051,54,"Norte de Santander",2003,9998.79883741286,9972.34172780052,NA,NA,94.4801356620829,NA,NA,NA,NA
"36","Arboletes",5051,5,"Antioquia",2003,9998.81576410413,9998.97121106994,NA,NA,93.6440100784459,NA,NA,NA,NA
"37","Argelia",5055,5,"Antioquia",2003,9998.65522889899,9985.418907864,NA,NA,90.6484732393214,NA,NA,NA,NA
"38","Argelia",19050,19,"Cauca",2003,9999.84694412355,9997.30287505893,NA,NA,93.5970104859596,NA,NA,NA,NA
"39","Argelia",76054,76,"Valle del Cauca",2003,9995.85114169132,9990.16786349033,NA,NA,92.5863798575822,NA,NA,NA,NA
"40","Armenia",5059,5,"Antioquia",2003,9994.31158812297,9993.59449403522,NA,NA,92.1831709112913,NA,NA,NA,NA
"41","Armenia",63001,63,"Quindio",2003,9989.42454553297,9995.3811744879,NA,NA,92.982245681382,NA,NA,NA,NA
"42","Mallama",52435,52,"Nariño",2003,9999.6016738538,9996.70483692405,NA,NA,92.9418361763043,NA,NA,NA,NA
"43","Astrea",20032,20,"Cesar",2003,9999.57819933928,9996.69135457222,NA,NA,94.3977402070416,NA,NA,NA,NA
"44","Ataco",73067,73,"Tolima",2003,9999.62827912214,9996.58172904767,NA,NA,95.2526270381151,NA,NA,NA,NA
"45","Tadó",27787,27,"Chocó",2003,9994.90805575242,9997.76953006128,NA,NA,91.8071743335928,NA,NA,NA,NA
"46","Socotá",15755,15,"Boyacá",2003,9999.47513095794,9998.76154267946,NA,NA,89.8017390912128,NA,NA,NA,NA
"47","Balboa",19075,19,"Cauca",2003,9999.84076497324,9995.38860108609,NA,NA,92.2732197142974,NA,NA,NA,NA
"48","Balboa",66075,66,"Risaralda",2003,9994.71028811237,9989.99266832097,NA,NA,93.0643127364439,NA,NA,NA,NA
"49","Baraya",41078,41,"Huila",2003,9991.52173923048,9981.5992388456,NA,NA,95.5843197940568,NA,NA,NA,NA
"50","Santa María",15690,15,"Boyacá",2003,9999.0950478362,9994.93179416867,NA,NA,93.708842197786,NA,NA,NA,NA
"51","Morelia",18479,18,"Caquetá",2003,9998.82498867661,9990.93007335771,NA,NA,95.1345598297096,NA,NA,NA,NA
"52","El Paujíl",18256,18,"Caquetá",2003,9999.11276395656,9989.22937040183,NA,NA,95.1345598297096,NA,NA,NA,NA
"53","Boavita",15097,15,"Boyacá",2003,9999.41074947751,9999.43345950725,NA,NA,92.5950969495596,NA,NA,NA,NA
"54","Boyacá",15104,15,"Boyacá",2003,9999.13801074576,9999.12341527956,NA,NA,91.8498098642801,NA,NA,NA,NA
"55","Sora",15762,15,"Boyacá",2003,9997.4058434818,9995.11435992158,NA,NA,92.0216979853657,NA,NA,NA,NA
"56","Sutamarchán",15776,15,"Boyacá",2003,9999.2219952419,9999.22263291441,NA,NA,92.2431323634697,NA,NA,NA,NA
"57","Santa Bárbara de Pinto",47720,47,"Magdalena",2003,9999.48565333897,9998.56790508204,NA,NA,94.255257551107,NA,NA,NA,NA
