"","municipality","code","DP","state","eb_ntp_2003","eb_ntp_2004","eb_ntp_2005","eb_ntp_2006","eb_ntp_2007","eb_ntp_2008","eb_ntp_2009","eb_ntp_2010","eb_ntp_2011","eb_ntp_2012","eb_ntp_2013","eb_ntp_2014","eb_ntp_2015","eb_ntp_2016","eb_ntp_2017","eb_ntp_2018","eb_nmr_2003","eb_nmr_2004","eb_nmr_2005","eb_nmr_2006","eb_nmr_2007","eb_nmr_2008","eb_nmr_2009","eb_nmr_2010","eb_nmr_2011","eb_nmr_2012","eb_nmr_2013","eb_nmr_2014","eb_nmr_2015","eb_nmr_2016","eb_nmr_2017","eb_nmr_2018","eb_ndvr_2010","eb_ndvr_2011","eb_ndvr_2012","eb_ndvr_2013","eb_ndvr_2014","eb_ndvr_2015","eb_ndvr_2016","eb_ndvr_2017","eb_ndvr_2018","eb_npir_2010","eb_npir_2011","eb_npir_2012","eb_npir_2013","eb_npir_2014","eb_npir_2015","eb_npir_2016","eb_npir_2017","eb_npir_2018","eb_nubr_1998","eb_nubr_1999","eb_nubr_2000","eb_nubr_2001","eb_nubr_2002","eb_nubr_2003","eb_nubr_2004","eb_nubr_2005","eb_nubr_2006","eb_nubr_2007","eb_nubr_2008","eb_nubr_2009","eb_nubr_2010","eb_nubr_2011","eb_nubr_2012","eb_nubr_2013","eb_nubr_2014","eb_nubr_2015","nimr2005","nimr2006","nimr2007","nimr2008","nimr2009","nimr2010","nimr2011","nimr2012","nimr2013","nimr2014","nimr2015","Litr2005","Litr2018","nmpr_2005","nmpr_2018","nmrpr_2005","nmrpr_2018"
"1","Abejorral",5002,5,"Antioquia",9993.72722303012,9997.98652106842,9997.99915150354,9998.0058920395,9999.27305836939,9997.12300586178,9999.19200617073,9999.29341055736,9999.13382768078,9999.22621024665,9997.35045360309,9995.76518208022,9991.0405471812,9987.23484300114,9989.28837810323,9989.91481423987,9984.92483186854,9991.3997977423,9992.24921475416,9994.0679910596,9996.86641857895,9997.08467295567,9998.00781818117,9997.31826413042,9997.3096305731,9995.80643971864,9996.67680378375,9997.63099747333,9997.33051571001,9996.53668933499,9998.43637249585,9997.07021999386,9999.32414099774,9999.01972975226,9998.94763437185,9999.15980954136,9997.63539920108,9996.00105608002,9989.16187000903,9989.78471936605,9993.13073454356,9997.86236524025,9996.79466202846,9998.68476027378,9998.22393221226,9993.25048966439,9982.76155824865,9970.74421410234,9979.00588615395,9977.34509293355,90.7109524239244,91.7518686054299,92.0520214150183,90.6131320182041,90.3959380119247,91.0203241805833,92.2605877693666,90.0085357354277,89.4215655282154,89.3673669446557,90.3482109925198,88.5326565569399,90.4402956668056,91.1681072179871,89.9470756704536,89.8384326384051,91.0247120772995,89.5441818936935,983.56,983.75,983.93,984.11,984.29,984.48,984.705139003035,986.234625102732,986.562476993187,987.776598021146,986.83915654,88.21349,89.28902,33.50313,59.4,25.4981,48.6
"2","Acevedo",41006,41,"Huila",9997.95300994774,9997.22400245475,9998.00905929798,9996.63097245305,9997.69349429934,9996.57853661881,9997.41589637497,9998.89099465945,9995.36502604312,9997.72914246908,9996.49921574432,9995.66496121486,9993.62157694026,9994.35699589629,9997.05871310404,9994.24626245773,9979.04486954583,9993.50550875752,9992.71146163852,9994.11387531213,9989.80568795399,9993.81083684496,9995.08752479012,9996.11077110039,9997.58317926163,9996.34229759061,9996.24338757121,9997.18000623628,9997.33945387279,9996.4871107824,9997.19774279165,9997.62459718053,9996.23514428408,9995.71816715339,9993.7667015713,9989.6193401844,9991.94301410209,9985.88702224268,9986.36913319007,9983.80584696908,9981.63983923438,9990.44772135403,9989.44501181203,9986.23704985035,9990.16575208576,9985.59828184741,9983.75200813581,9986.72733263285,9982.91818960639,9983.20260544503,95.5822823120424,96.0809688151677,96.1316870489283,95.6877183492698,95.7859152940717,95.6466180352916,96.1473406029523,95.5114351522888,93.7865007374161,93.6299710796207,93.8983177677136,93.3573174114049,93.908439405284,93.8390046469795,93.7409568205595,93.0389110890211,93.5162648361484,92.8580262117267,969.46,969.46,969.46,969.46,969.46,969.46,969.790160372307,970.325316058855,970.325316058855,971.217163088881,971.09164175,86.90998,93.88226,14.08096,49,10.64285,44.4
"3","Agrado",41013,41,"Huila",9985.40667795114,9995.26277025102,9994.16941406325,9989.95139684524,9996.2767398471,9988.65013635073,9991.06771670461,9996.49645026321,9991.31462120047,9993.49854213945,9993.4261692489,9989.30260941807,9995.48648662865,9991.39961406557,9992.48521561434,9994.03533642776,9993.08708988301,9996.21004666958,9997.01419487292,9993.6629094092,9996.71339139717,9997.4984671499,9997.95084615533,9997.05899421548,9997.85992218664,9997.22461378476,9997.4047732061,9998.18934236049,9998.49788076674,9998.06192102448,9998.12398993919,9998.09620453674,9997.30975611176,9995.58769545081,9990.6144079522,9983.04744222064,9989.29081744515,9985.28521309449,9974.58170726644,9987.95344165131,9987.93031543303,9979.2934057788,9971.67964972651,9963.7188867962,9974.50088382797,9973.7595691074,9961.72777586921,9972.9178718027,9976.08717863881,9954.75693972731,95.5312044746732,95.6625719746125,95.5664209614196,95.1909904279991,95.3824127942355,95.6138991373808,95.3398141989208,95.4515420099721,93.8653738230693,93.9017165696325,94.1654599597422,93.4882526482215,93.908439405284,93.8390046469795,94.1551934541933,92.9859440686574,93.6356426621997,92.9945467113096,976.23,976.49,976.76,977.02,977.28,977.55,979.795,981.425118774395,981.425118774395,981.514211657181,982.42847004,87.55479,89.92828,28.70876,50,14.21838,34
"4","El Águila",76243,76,"Valle del Cauca",9997.88855852988,9997.32524149633,9997.97065473833,9995.80611978909,9994.52927869822,9993.90297911605,9994.85226418014,9990.32465156211,9994.11498431753,9993.77834311741,9995.80216753871,9995.97305900047,9995.02284236554,9995.80991907978,9996.62019939494,9996.29136651247,9987.87856225376,9988.49684785198,9988.44224220003,9991.70597396681,9988.72000854291,9990.7709637996,9993.51386683631,9994.17241785297,9990.6056883885,9991.54183745733,9990.55230302868,9993.52699823866,9993.31005865892,9993.18510598028,9993.09507429248,9992.75522686964,9998.15612351691,9996.6959803159,9990.87175617496,9994.67540140291,9995.02953156865,9991.96446019897,9990.82688654432,9991.35559025535,9992.53448164931,9991.26102956452,9988.18259272565,9983.29249746159,9984.61878866743,9984.87419513792,9984.00635215501,9987.12477048513,9985.82330502163,9979.89024768454,93.4238817692255,93.4422448568041,92.9649186048099,92.7403954437094,92.2255551136108,92.5863798575822,92.1416879588219,91.8383338689238,91.235358305956,91.4070163514571,90.8473213118987,91.078517958644,91.5252806643388,91.3297179515863,91.4251052074855,91.2397980688482,91.838328207266,91.7832702420004,980.38,980.97,981.56,982.15,982.74,983.32,983.32,983.417260227541,983.417260227541,983.40830746052,981.46674759955,85.6253,88.50253,35.42098,56.5,26.36069,48.6
"5","Aguachica",20011,20,"Cesar",9999.041533043,9998.06250926874,9998.69029495912,9996.59924927513,9997.13990254913,9993.98837515496,9996.23430347973,9990.44559678435,9987.87384302456,9987.33627807504,9987.89717192739,9988.9202211389,9981.3412940428,9968.17015757889,9969.19746025485,9968.4164006379,9996.38883796406,9993.96202494222,9993.39870581828,9995.89952490505,9995.08612844304,9994.75874496539,9994.38635372258,9997.15930550449,9997.39187721055,9997.5158579467,9995.80846810712,9997.63782802831,9997.79829274202,9997.87591942581,9998.5602286762,9997.09630170466,9996.54307309002,9997.44266819832,9998.87818094337,9998.4048101718,9994.48474524967,9981.39631631027,9966.74582689154,9958.57028463087,9978.05481537634,9992.09151333385,9980.33163059639,9980.46772564493,9981.03354955499,9986.35786637929,9982.96768376595,9972.8503139581,9959.92851993776,9959.55995694804,94.9602765509189,94.9388737502056,94.4610679443827,93.8484263329404,94.6712264808768,94.5074704497838,94.5398902134622,94.2921583050712,94.1667345415822,93.8830876609525,94.0313255859614,93.9247223759911,93.7620940523351,93.8936035292093,93.0764378553253,93.5821811895831,93.4141969445499,92.6108644957078,977.74,978.23,978.73,979.22,979.72,980.21,981.155300705451,982.256887634443,982.256887634443,983.501737398468,982.73968696,80.6953,89.92231,28.70169,63,8.52318,37.6
"6","Aguada",68013,68,"Santander",9996.47030065001,9996.29822174097,9995.8191224604,9995.21515415493,9992.19039189688,9987.92970592112,9975.63957405985,9991.95560136048,9991.03769659779,9987.09136092788,9990.63374121067,9989.61776890308,9990.40087944499,9990.15307583095,9991.24277351311,9990.429799403,9996.27175573248,9995.48253432795,9997.94701784507,9997.61681693936,9997.66773978664,9997.99269090887,9997.06412858614,9998.25050335225,9998.45383963225,9998.46939479626,9998.49424877046,9998.54527418993,9998.70046748601,9998.69314483483,9998.91846617975,9998.88520878837,9991.87784770677,9990.71107056833,9980.32245584982,9985.34192455398,9988.59153678952,9992.20161657094,9982.7352119651,9984.72160019501,9987.3742699628,9983.7843304925,9975.93524483795,9980.0743424894,9972.69433002347,9969.41698485027,9967.9885180293,9971.27527629752,9978.76741607779,9983.08449534595,93.9973499602513,94.2214298319776,93.500562817146,93.8970340040078,93.9161965835758,94.0183517620957,93.474840966209,93.9666731049169,92.7886818109167,92.6777877239785,91.7717875964607,91.562049386467,92.477106703936,92.3229630227962,92.6458296258957,92.9519925779309,92.9973274414744,92.8644177915875,979.58,979.67,979.76,979.85,979.94,980.03,980.276676282124,980.283517661637,980.283517661637,982.255165895474,983.00741238,81.27854,84.94861,29.01982,58.2,22.89308,54.2
"7","Aguadas",17013,17,"Caldas",9998.59101415906,9999.68847101806,9974.26618453078,9988.38217687253,9988.99543195041,9991.03118592611,9992.08130790589,9985.86290055665,9990.61847204792,9984.13501471809,9993.58352918683,9995.2432114221,9994.41768554696,9987.20133519921,9994.75082430452,9995.76504961256,9992.86249104644,9988.80770817878,9993.66553715981,9995.15444024105,9995.22229316726,9993.17058932324,9997.49836564498,9995.48333675382,9995.69255028052,9996.57797343799,9996.69711307155,9996.68171438794,9997.75207558104,9997.77053087538,9997.92605654891,9997.74544497845,9995.8119573124,9998.38824535158,9995.08772623798,9995.11696415194,9996.45491123027,9996.27384996429,9988.96871025248,9989.02194919094,9993.06725323788,9976.437737382,9989.0401383048,9980.57429575588,9988.71908971965,9986.75495641018,9982.02942380212,9973.89236958346,9981.42997073718,9979.39180942701,94.2575833141739,92.6241827457562,92.3678340988181,94.0875071295428,94.6319491787969,93.8123287268264,93.5366828075632,93.7169437289624,93.2579214775895,94.3866069538014,92.7533968382253,93.024761438214,93.0158614328849,93.1767544844572,92.5368149828403,92.6038699538356,93.274829470169,92.0967583805881,982.65,983.17,983.69,984.21,984.73,985.25,986.181390208486,986.181390208486,987.563251187637,988.471927558694,988.78575214,89.12833,91.05324,40.77917,70,22.46227,58.8
"8","Aguazul",85010,85,"Casanare",9999.03010374462,9998.2887924861,9997.79151740521,9990.77324315314,9995.36082867598,9998.01378033724,9996.17804490593,9995.17155548699,9992.64029781892,9983.76047993107,9977.4061575821,9983.79507346849,9988.28605453229,9987.31847821905,9983.88990901413,9982.10968874242,9986.622073092,9979.66942407766,9988.20593430306,9991.30770261154,9987.2796894037,9996.481821236,9998.05586123426,9997.844660794,9998.72507677238,9997.01812055331,9998.03450765205,9997.93554244903,9998.32193605854,9996.40883430419,9998.79668705366,9998.75758078857,9967.65897825215,9994.68749781693,9985.43187422639,9953.74019396876,9986.42045113191,9986.11342065678,9985.39540678925,9988.16914182381,9990.31152867808,9992.0534864213,9994.24058686067,9972.90995016976,9961.59459528461,9969.78087105766,9971.67534997295,9968.37462958554,9975.31191603053,9974.66781498486,95.0587986110462,94.7215939045793,95.0235725510739,95.386681679005,94.6837267976212,95.8889669711876,95.9542374029585,95.4583968818844,95.5437761109701,94.4576030317385,94.919533717386,93.5077154685736,94.7466014952527,94.5186549976969,94.1986671501664,94.4858520552982,94.6382978723404,94.3870343069519,977.98,978.47,978.96,979.45,979.94,980.43,980.43,980.43,980.91422280268,981.566375037021,983.1375369,90.27039,92.15883,45.22016,73,24.82742,59.7
"9","Sativanorte",15720,15,"Boyacá",9998.8494304279,9998.84796503941,9998.28133003343,9990.09432628438,9997.25153076381,9996.95846231037,9994.42007214545,9994.14652942696,9990.23079615203,9993.09358804055,9996.30162720203,9996.5800096264,9995.68995684334,9995.34778690067,9995.36737231575,9991.05914924709,9998.75387560145,9996.90823702119,9999.08031008592,9999.04857613188,9999.14517171248,9999.10267299285,9998.08579148365,9999.10690215133,9999.28267309817,9999.17584663567,9999.20880732049,9999.21939569095,9999.33719165971,9999.29381596489,9999.48573155579,9999.37875011731,9995.85730059117,9989.80783092845,9994.56593905036,9992.89095384035,9994.76314890289,9991.47430081506,9990.836214413,9968.93365418956,9972.98093511287,9985.34702244859,9986.85377869013,9982.80218860261,9981.95611871666,9982.12777470172,9974.68638250174,9974.58431548418,9979.68762510303,9980.19780613729,93.2514952800002,93.1131329436697,92.4324401570727,93.0148208894984,90.8301350659362,91.7706681405343,90.5130664967442,91.5832738054139,91.8148456454167,91.1470128892518,90.8821317160305,90.4606622799148,89.1164646437954,89.1410996434845,90.0843316020081,91.3359095590101,90.7284715748181,90.6446899964533,974.6,975.62,976.63,977.65,978.67,979.68,979.68,979.772703684017,979.846557915474,979.846557915474,979.65210699,81.99898,89.82541,29.31424,48.4,19.77916,33.5
"10","Aipe",41016,41,"Huila",9988.96692792702,9992.32314226947,9992.51357825534,9996.99701679712,9997.90639558817,9992.92770187523,9993.24487132161,9992.67159038421,9996.15188789321,9995.49617271169,9993.60298694871,9994.55481066911,9995.76733275022,9989.33483463214,9993.1615382707,9993.84542908672,9997.81064202264,9997.87920584708,9997.16342294303,9997.06272606533,9996.11312177164,9996.48213958283,9997.02246129482,9997.31313569084,9996.78274848939,9997.25828618307,9997.60980654918,9997.9910708284,9998.73728339523,9997.79775799665,9998.69239337107,9997.98638469577,9998.41943932414,9996.96455373667,9993.70666137918,9994.06194982291,9995.54886967256,9994.62380906108,9990.56596643443,9989.4493894485,9989.20602112207,9986.39657111636,9987.87297585781,9979.52055124526,9980.42064675528,9979.45116441139,9982.01829407749,9976.11771940216,9982.11832153676,9975.54936268972,95.6814597683071,95.9875822426975,95.8099206681618,95.1464101118906,95.4664413557774,95.5800304604715,95.6026788111927,95.4847398119753,93.6802043126926,94.1664273145773,94.2020495247244,93.5554101032208,93.908439405284,93.8390046469795,93.8401204141352,94.6215772918132,93.6562992165269,93.2631612382213,979.03,979.5,979.97,980.43,980.9,981.36,981.36,982.869134064627,983.964708331276,982.869253760235,984.26328298,79.13229,91.07552,29.01587,64.6,16.18982,51.8
"11","Albania",44035,44,"La Guajira",9999.42918548861,9999.71250242698,9999.73194614771,9995.72298722427,9996.17351716135,9999.09184735145,9998.81263793835,9998.379418156,9998.6698940012,9996.94503069354,9997.00849866394,9998.42789126811,9998.11035148949,9988.65967401339,9992.90544867058,9991.14807362837,9997.61852115865,9996.54851940105,9998.26493994506,9996.93876238385,9998.63835317331,9997.99013581088,9997.0926942431,9996.37279524389,9998.79756661533,9998.93018965245,9998.01310743014,9998.41347688748,9997.21190724181,9999.01616227689,9997.52302019104,9998.91909753348,9998.14382897402,9998.901205616,9998.05185602366,9995.71206886782,9996.05319067094,9995.64136783622,9997.84383297194,9994.16673051838,9994.1083358961,9993.39719411723,9989.08001970808,9991.40700805489,9991.59904796318,9991.72355394464,9992.89327670977,9987.87357847901,9991.39904177633,9990.79810569468,93.1097369235628,93.0636536022217,93.6939885963044,91.9412190580322,92.9277385477522,91.3454647176189,92.8580285494113,93.6946663078282,93.4000012882018,91.0928404882754,91.2426570928756,91.0517453154559,91.4183820491516,91.9031554429102,91.6811173064111,89.7774459331978,90.9956626962367,91.3599566688556,968.07,968.07,968.07,968.07,968.07,968.07,968.333967127824,971.500570415041,971.500570415041,973.394268053116,975.93784337,75.44241,85.24599,22.62421,50.2,4.58843,21
"12","Albania",68020,68,"Santander",9998.08578654639,9997.98602310388,9995.78988884094,9995.52567373505,9997.93382050539,9993.3514165623,9988.75348280026,9995.85659923317,9995.49526267242,9995.39240291808,9993.84827019307,9993.37167042303,9992.28040531554,9990.63849249216,9989.52705159476,9989.32823252886,9994.31735456603,9998.08491553697,9997.51668543057,9997.93770308556,9996.22488887488,9996.78748116218,9996.19472694569,9998.40122367712,9998.54369855936,9998.42426561405,9998.74901570452,9998.65108212037,9998.3076673835,9998.42395341015,9998.79401993775,9998.60492665758,9990.95350531774,9993.14819780381,9992.94160591206,9990.35602069033,9992.42204023091,9994.86041392893,9985.68353864406,9980.73717615046,9983.81642822278,9988.54450597443,9983.19618120401,9987.12988056335,9987.00289574312,9989.43418758605,9983.56745137632,9978.91925797412,9988.59464505924,9982.9878977791,94.0785696441929,93.9894413964116,93.4961714475813,94.1796500814773,94.2478857667328,93.5875119069553,93.6005178806099,94.118947439018,93.4773289345602,93.1049646844061,91.7595950774668,92.4270019572928,93.176479311109,92.743905362929,92.6687904894087,92.8986245980277,92.9210604368999,92.5905535001232,972.78,972.78,972.78,972.78,972.78,972.78,975.502,976.122171493031,976.122171493031,976.122171493031,973.99463836,81.35373,87.4202,22.34742,51.9,17.4987,48.1
"13","Algarrobo",47030,47,"Magdalena",9999.03370695635,9999.46769494439,9999.44181218901,9997.90415929263,9997.8900380692,9998.64596731179,9998.57653153454,9999.31159997,9997.88399257764,9999.17139071805,9999.20982888438,9998.51087096907,9999.12128969893,9995.4233901533,9996.09058093583,9993.68671857922,9996.64732094686,9998.00584380409,9996.46065067356,9996.23986263976,9997.40082237526,9996.81987636559,9998.67212339184,9998.05221322239,9997.31248010657,9997.2102123662,9997.04070293832,9998.39004214886,9998.44941110105,9998.64418703563,9998.59205855745,9998.4030476114,9999.29660867355,9998.70192703804,9997.97126939605,9996.68367544426,9995.9454149959,9989.12729916358,9986.05649333679,9988.05632412287,9994.63106575509,9997.39447428167,9999.13083736415,9993.89244986145,9995.21935917572,9990.02633517622,9990.06905623421,9983.78792932104,9991.4734178469,9986.40910770879,94.1957063562042,93.9685789879364,93.4661113826533,93.8036671643046,93.5612887936079,94.7122890813221,93.6661055109751,93.9610994996092,92.9183419904223,95.7384982026058,93.0505617557134,93.27347337097,94.2958256244757,92.1971312466021,93.9577567801987,92.1281377479545,92.1417147993478,92.7132909786889,970.72,971.37,972.02,972.67,973.32,973.98,973.98,973.98,975.141363158707,975.594946153907,975.594946153907,77.2176,85.41446,14.60961,42.7,9.64772000000001,44
"14","Algeciras",41020,41,"Huila",9998.60527916548,9998.99754527867,9997.76417054281,9999.03356705112,9996.92760204595,9996.77330960466,9998.50483739529,9999.45089299618,9997.45519281586,9997.52896704063,9998.30806708434,9995.91628102562,9997.07141194435,9996.31034775326,9997.11226133349,9993.0435772673,9982.71424918858,9988.71731071257,9988.82389845055,9992.3467646792,9991.52947781337,9992.85709634428,9995.79251058272,9994.78432135867,9993.11318005667,9997.12214333403,9996.48391241304,9997.94621668973,9997.76908122728,9996.81154046977,9998.79585693185,9997.62181844491,9998.87088388805,9996.65428113536,9997.79133964831,9996.19930185859,9993.01050775434,9991.23712171226,9991.62416295419,9990.92336467022,9987.45801715343,9983.64319947002,9989.31165052949,9981.1483002875,9987.42585907985,9988.99236208394,9984.2558431764,9979.22721497492,9973.48613223456,9975.84183911225,96.1199166306396,95.8492741050397,95.1604247598486,95.9148770061518,95.8099836249882,95.700799596841,95.2984740791265,95.4889247556181,94.1653142777566,94.0261365954363,94.5710844477661,93.4913775872625,93.908439405284,93.8390046469795,93.8042546484061,93.4715165508199,93.5493850510282,93.0934627670997,973.95,974.53,975.11,975.69,976.27,976.84,977.528641474177,977.83191872642,978.184605956721,979.025535638263,979.52260141,76.3698,88.73601,23.8955,54.8,14.10699,44.9
"15","Almaguer",19022,19,"Cauca",9999.81894271402,9999.77529606505,9999.72340094993,9999.78917813949,9999.7623337185,9999.76262005974,9999.78293818584,9999.75448267516,9999.75849573647,9998.25426017429,9999.23068052837,9999.24346773497,9999.24821017068,9999.26849956216,9998.80148659305,9998.40836257969,9998.29787097512,9998.03079121588,9997.33584717723,9998.54211154583,9996.71137671596,9998.90609962141,9999.20911446306,9996.93604034209,9998.87597414669,9995.62647800098,9996.54111545363,9997.77852767748,9998.54468936565,9999.00599749744,9997.02808111801,9994.06602992131,9999.77419292329,9999.7330448237,9999.02209172737,9999.73798953089,9999.60458455733,9998.712981853,9995.4723172274,9995.90773595983,9995.4750877711,9999.46552566963,9999.42629124831,9994.31634005306,9996.13236986835,9996.19092456043,9997.81611754437,9994.5702605088,9992.81230635107,9994.20738632435,94.5950251799601,96.0173155695935,93.5171541894417,93.4779916323478,92.8134231824016,93.0799176625102,90.8257741107085,92.5644920038924,89.8552851405041,87.9184128826761,90.3748957490481,86.844469842526,90.8493702868876,91.6738520350187,89.1864905209744,89.8174382234833,91.3721098061358,91.1551121646762,965.28,966.05,966.82,967.59,968.36,969.14,970.119296943997,970.119296943997,972.095164601118,972.760334353087,972.760334353087,79.46177,84.5,6.89524,37.1,4.11196,34
"16","Alpujarra",73024,73,"Tolima",9996.86470797974,9996.60685440255,9996.7451730582,9996.1539302836,9997.98541194136,9998.29827764866,9998.24315603394,9996.59241190825,9998.27645533369,9980.82541353452,9996.60278383991,9984.95120488634,9989.84191065746,9984.54084929636,9990.84053498123,9990.64898004989,9996.91195594116,9995.30598130629,9997.45891801398,9997.02822578267,9997.02681006408,9996.06276940513,9997.23393523255,9998.35135573099,9998.65753367739,9998.15901294289,9998.23808865745,9998.31903660036,9998.34681615467,9998.1313721998,9998.11815168851,9997.81963931333,9998.88624806459,9995.84868945013,9998.72385332047,9996.25311173947,9988.77795533234,9985.69562203339,9978.96241997961,9984.80443750955,9988.30167948684,9993.3001742825,9996.04539813184,9965.51519684339,9965.49371890912,9965.41580799941,9966.69902304343,9927.91085155694,9941.37974007533,9979.18218761119,94.958434099754,94.5274682715324,94.4976868543327,94.9167346768028,94.5681946963279,95.3999646756665,94.9775347835505,94.7969740731008,94.521426518164,94.1674324090804,93.6804342645735,93.7542056387516,93.2299392204852,93.5350018061491,93.3413664878854,93.7393526405451,93.5757142483126,93.7117269958837,972.16,972.49,972.82,973.15,973.48,973.81,975.712213205064,975.756067140224,976.002648403213,976.002648403213,976.62754046,85.12349,91.12408,39.50839,69.1,32.4747,67.3
