"","finalyear","beta_con","value"
"1",2007,"theta",0.203420950321649
"2",2008,"theta",0.349344512805305
"3",2009,"theta",0.231006922213258
"4",2010,"theta",0.25463214865316
"5",2011,"theta",0.252110909648291
"6",2012,"theta",0.375413161607548
"7",2013,"theta",0.360997462358179
"8",2014,"theta",0.279018153170912
"9",2015,"theta",0.301186714566348
"10",2016,"theta",0.236662562988767
"11",2017,"theta",0.298163103165835
"12",2018,"theta",0.776291888869867
"13",2007,"alpha",6.67105106670485
"14",2008,"alpha",4.84234396694316
"15",2009,"alpha",4.59065399430181
"16",2010,"alpha",4.38205931924094
"17",2011,"alpha",4.42487556854421
"18",2012,"alpha",2.32300560427005
"19",2013,"alpha",1.55932869963913
"20",2014,"alpha",3.14531271018833
"21",2015,"alpha",3.02522308963567
"22",2016,"alpha",4.73270291804752
"23",2017,"alpha",2.1844958600305
"24",2018,"alpha",-2.69247871149248
"25",2007,"beta",-0.927746027928779
"26",2008,"beta",-0.875108235556258
"27",2009,"beta",-0.729441565601508
"28",2010,"beta",-0.730417081983661
"29",2011,"beta",-0.732544652661497
"30",2012,"beta",-0.627636484963369
"31",2013,"beta",-0.530303685716699
"32",2014,"beta",-0.620523497291562
"33",2015,"beta",-0.629652118514403
"34",2016,"beta",-0.75051846194395
"35",2017,"beta",-0.535342643994081
"36",2018,"beta",-0.483953021105701
