"","method","2011","2012","2013","2014","2015","2016","2017","2018"
"1","ETS (MAE)",2.82787205981061,2.31449193468959,1.48845618383521,1.46352701466254,1.42901247502116,1.38325208394133,1.36934546110368,1.4167962220122
"2","ETS (RMSE)",5.73905134057571,4.6591361188904,2.39794554952957,2.35897773825212,2.32732786867915,2.44219578874441,2.13869658876629,2.66155200065548
"3","BETA (MAE)",1.82902963945155,2.3574503238287,2.2064589340272,1.8435554196397,1.50611912872106,1.18991958433819,1.02435189939609,1.30821347116333
"4","BETA (RMSE)",2.29381322010682,3.42489042457132,2.65814280848104,2.31794672785132,2.1350421519235,2.1783299053878,1.71544154436067,2.79826305082156
"5","BETA (MAE)",1.82902963945155,2.3574503238287,2.2064589340272,1.8435554196397,1.50611912872106,1.18991958433819,1.02435189939609,1.30821347116333
"6","BETA (RMSE)",2.29381322010682,3.42489042457132,2.65814280848104,2.31794672785132,2.1350421519235,2.1783299053878,1.71544154436067,2.79826305082156
"7","Spatial BETA (MAE)",1.63038816286044,2.53079825475838,1.94495888944522,1.5622456766204,1.31120055753001,1.14752219607232,1.0282025916267,1.23080345260272
"8","Spatial BETA (RMSE)",2.14230256499102,3.49996655719407,2.38613126927264,2.04742453851987,1.968086099529,1.97203977480272,1.66769053170495,2.64916219351481
"9","STAR (MAE)",2.48694164895563,2.45845646628923,2.19379554841199,2.22521412647585,2.37101932504141,2.32384426911606,2.37343560075681,2.59287798513605
"10","STAR (RMSE)",2.79751753814582,3.31216115537098,2.55302655644504,2.53271274843269,2.76470428019484,2.71257872197652,2.79205479686719,3.53566514297671
